No.,geographic location,,,,,spatial form,,,site selecting,,,,process of construction,,,,,,notes,
,city,circuit,prefecture,county,order,water body,range,mark,distance from the city,close to traffic hubs,connected with existing waters,combined with scenic areas,year of construction/renovation (reign era),year of construction/renovation (common era),construction or renovation,Identity of the Founder,collabrating with religious organisations,economising resources and caring for the people,data source,orginal text
1,Fuzhou,Fujian Circuit,Fuzhou,,1,lake or pond,unknown,unknown,inside,no,unknown,yes,unknown,unknown,unknow,unknown,yes,unknown,£¨ºëÖÎ£©°Ë_Í¨Ö¾87¾í °Ë_Í¨_¾íÖ®ËÄ Ã÷ºëÖÎ¿Ì±¾,·ÅÉú³Ø°´¿¤ÒØÖ®ÓĞ·ÅÉú³Ø¸ÇËÎÌììû__Ö®ÖÆÒ²____ÈÕ¿¤ÊØÂÊÁÅÊôÃü_Á÷·ÅÉúÒÔ×£_ÒÑÉÏ¾ãÔÚ_Ê¯É½ÖĞ
2,Fuqing,Fujian Circuit,Fuzhou,Fuqing County,1,lake or pond,within 2 li,others,more than 10 li outside,no,yes,no,the Tianxi Period,1017-1021,initial construction,unknown,unknown,unknown,£¨¼Î¾¸£©¸£Çå_Ö¾_ÂÔ18¾í ¸£Çå_Ö¾__¾íÖ®Ò» Ã÷¼Î¾¸¶şÊ®ÁùÄê¿¯±¾,·ÅÉú³Ø ËÎÌìÙÒÔªÄê¶¡ËÈ_ÌìÏÂÖİ_Á¢·ÅÉú³ØÒØÖ÷ÒÔÏé·û_ÀÉ_Öª_Ëù_ÀÉ¹Ùºş_Ö®ºş½ü_ÇàÉ½¹ÊÊ¿Ãñ½Ô__Óğì¶´ËÉÏÓĞÀÉ¹ÙÃíÆäÔ´×Ô_Ê¯_Ê¯__ì¶´ËÏÂ×¢Èë½­
3,Jianning,Fujian Circuit,Jianning Prefecture,,1,river or stream,2-10 li,pavilion,no more than 3 li outside,yes,yes,no,the Tianxi Period,1017-1021,initial construction,unknown,unknown,unknown,£¨¼Î¾¸£©½¨_¸®Ö¾21¾í ½¨_¸®Ö¾¾íÖ®¶şÊ® Ã÷¼Î¾¸¶şÊ®Äê¿Ì±¾,·ÅÉúÍ¤ ÔÚÆ½Õş_×óËÎÌììû_½¨ ·ÅÉú³Ø ³õ_ÖÃ²»Ò»_ÒÔÆ½Õş__´¨Í¤ÏÂ_ÏªºÏÁ÷__Ö®
4,Chong'an,Fujian Circuit,Jianning Prefecture,Chongan County,1,river or stream,unknown,others,more than 10 li outside,no,yes,yes,the Duanping Period,1234-1236,initial construction,unknown,unknown,unknown,£¨³ç_£©__154¾í __¾íÖ®Ê®Îå Ã÷³ç_¿Ì±¾,³Ç__ÔÚÁùÇúÏªÄÏ_ÖÅ_Ø¨Îå°Ù_ÕÉ_È»_Ì¹åÆÏª_¿ÉÌİ¶øµÇÏÂ_ÖÁÊ¯¹Ä¶ÉËÎ¶ËÆ½¼×ÎçÌìÖĞ_³¯Ö¼ÓÚ´Ë½¨õ´·ÅÉú²¢½û²¶_
5,South Jianzhou,Fujian Circuit,South Jianzhou,,1,lake or pond,within 2 li,pavilion,inside,no,unknown,no,unknown,unknown,unknow,unknown,unknown,unknown,£¨ºëÖÎ£©°Ë_Í¨Ö¾87¾í °Ë_Í¨_¾íÖ®¾Å Ã÷ºëÖÎ¿Ì±¾,·ÅÉú³Ø Ò»ÔÚ¸®³Ç_Ó­¶÷Í¤Ö®Ç°__ËÎÄÏ_Öİ·ÅÉú³ØÒ»ÔÚÏªÄÏĞşÃî_ÏÂ__ËÎ_ÆÖ_·ÅÉú³Ø¼´_Ì¶ÉÏÏÂË®Éî_½û_²¶ 
6,Youxi,Fujian Circuit,South Jianzhou,Youxi County,1,lake or pond,within 2 li,unknown,no more than 3 li outside,yes,unknown,no,unknown,unknown,unknow,county chief,unknown,unknown,£¨¼Î¾¸£©ÓÈÏª_Ö¾7¾í ÓÈÏª_Ö¾¾íÖ®Ò» Ã÷¼Î¾¸¿Ì±¾,³Ø·ÅÉú __ÍâËÎÖª_±ûÁ¢Ê¯½û²¶_ 
7,Jianpu,Fujian Circuit,South Jianzhou,Jianpu County,1,lake or pond,within 2 li,others,no more than 3 li outside,no,unknown,no,unknown,unknown,unknow,unknown,yes,unknown,£¨ºëÖÎ£©°Ë_Í¨Ö¾87¾í °Ë_Í¨_¾íÖ®¾Å Ã÷ºëÖÎ¿Ì±¾,·ÅÉú³Ø Ò»ÔÚ¸®³Ç_Ó­¶÷Í¤Ö®Ç°__ËÎÄÏ_Öİ·ÅÉú³ØÒ»ÔÚÏªÄÏĞşÃî_ÏÂ__ËÎ_ÆÖ_·ÅÉú³Ø¼´_Ì¶ÉÏÏÂË®Éî_½û_²¶ 
8,Shaxian,Fujian Circuit,South Jianzhou,Shaxian County,1,lake or pond,within 2 li,unknown,inside,no,unknown,no,unknown,unknown,unknow,unknown,unknown,unknown,£¨ºëÖÎ£©°Ë_Í¨Ö¾87¾í °Ë_Í¨_¾íÖ®Ê® Ã÷ºëÖÎ¿Ì±¾,·ÅÉú³Ø ÔÚ_ÖÎÎ÷ËÎÃû×£_³Ø
9,Shunchang,Fujian Circuit,South Jianzhou,Shunchang County,1,river or stream,2-10 li,others,no more than 3 li outside,no,yes,no,unknown,unknown,unknow,unknown,unknown,unknown,£¨ºëÖÎ£©°Ë_Í¨Ö¾87¾í °Ë_Í¨_¾íÖ®Ê® Ã÷ºëÖÎ¿Ì±¾,·ÅÉú³Ø ¼´_Ç°´óÏªËÎ_ÒÔÉÏÏÂÎåÀï_³Ø½û_²¶_ÔÚÕı_ÔºÇ°
